y,x,labels
31.84246,6.051386,0
48.35967,3.106465,0
32.67683,4.346341,0
35.87965,4.1889496,0
27.27041,5.83318,0
44.22844,6.989474,0
30.950953,4.457321,0
39.02241,5.421517,0
30.101078,3.7498925,0
48.309593,3.1696033,0
39.670918,6.957125,0
40.67036,4.393227,0
50.21664,3.0205922,0
26.696068,3.7189853,0
39.683167,7.502438,0
38.152637,7.4177046,0
39.19585,7.160523,0
30.858961,6.070883,0
45.677937,6.980665,0
29.103575,6.615896,0
38.928143,6.5701976,0
27.364304,6.5634665,0
28.757215,4.7031093,0
55.61942,4.76017,0
41.40823,4.3496933,0
48.82535,3.413631,0
54.448788,4.7416983,0
36.850437,6.306381,0
36.078144,6.200251,0
41.30057,4.142344,0
43.18133,3.7359312,0
39.111214,6.5426774,0
34.95864,7.251005,0
37.229904,7.396011,0
47.079933,3.2533026,0
40.55964,4.978796,0
39.944786,6.732817,0
25.688536,5.6755958,0
29.273403,3.7434719,0
38.317467,5.732658,0
28.83152,6.084061,0
31.37745,3.60483,0
29.463211,4.003592,0
56.010616,4.7105393,0
32.251114,6.841414,0
47.352486,3.036785,0
30.92402,6.744278,0
33.75488,4.3041635,0
38.244305,6.901222,0
39.806515,5.4053235,0
-32.700703,3.6075761,1
-19.634098,3.2675714,1
-32.379337,3.7200687,1
30.670109,0.9134396,1
-21.912443,3.0383978,1
22.135677,0.13544506,1
-19.609005,3.3342872,1
58.738754,-8.221143,1
-22.988956,3.0765183,1
29.543856,0.5683003,1
55.78736,-8.287791,1
8.755284,1.0428449,1
13.558051,1.1822207,1
-8.763622,2.1720183,1
20.477991,1.3454419,1
-20.534868,3.2049994,1
24.613424,0.06323193,1
14.505091,1.0555756,1
-31.468348,5.576941,1
27.5943,1.0460209,1
-26.504387,4.701016,1
-6.701452,1.9233085,1
-35.772003,5.2990446,1
-10.758929,2.1014276,1
-11.115168,2.5868266,1
-20.576094,2.9308565,1
-26.066843,3.340142,1
-33.951393,3.8730195,1
-5.7643237,2.050463,1
25.296986,1.1705238,1
28.166267,1.2105306,1
27.3229,1.1918021,1
17.148617,1.3149267,1
-40.444065,5.5463247,1
25.944216,0.23457503,1
-19.618008,3.4433115,1
-30.400984,3.5208435,1
-30.803705,5.5357285,1
11.671252,0.7563159,1
29.872644,0.77771753,1
18.57954,0.1681799,1
-7.624868,2.1952035,1
15.536904,1.2262299,1
57.475025,-8.248176,1
15.75393,0.31819496,1
10.157623,0.7662445,1
11.497305,0.74764764,1
-9.573798,2.3532798,1
59.777817,-8.218249,1
13.535526,0.57946247,1
-78.96873,3.129812,2
-14.591339,7.855554,2
-107.85333,-0.15643877,2
-52.07727,4.702874,2
-65.52572,4.1048937,2
-121.98729,-0.91249603,2
28.011724,0.2815976,2
-115.01869,-0.68480706,2
-59.387737,4.3665643,2
-98.48543,1.27895,2
-67.06627,3.5212421,2
-63.73236,3.865769,2
-85.53629,1.8671355,2
-13.124091,7.7800436,2
-8.66448,7.870797,2
-73.64127,3.1831415,2
-54.491875,4.669919,2
-118.598206,-0.578893,2
-125.32684,-0.9839405,2
-34.456078,5.500672,2
-95.257256,1.3023107,2
-10.990067,7.761128,2
-123.50496,-0.9794667,2
-33.152218,4.999615,2
-96.04703,1.2765825,2
-110.09627,-0.40737155,2
-31.635546,4.9013186,2
-26.587614,4.804722,2
-62.02399,4.3077908,2
-111.19307,-0.31346554,2
-116.092125,-0.48405933,2
-117.193306,-0.5613745,2
-63.34879,4.2740893,2
-38.816174,5.298335,2
-47.658035,5.128166,2
-118.82605,-0.63752216,2
-76.59024,3.1450078,2
-53.648506,4.72602,2
-27.016047,4.8140435,2
-84.12919,2.2465026,2
-92.04399,1.6581994,2
-79.688156,2.2999434,2
-13.53875,7.7211933,2
-96.688255,1.3731433,2
-92.35249,1.5054921,2
-78.59361,2.4502783,2
-35.19131,4.8793044,2
-65.87546,3.7149715,2
-75.06385,3.1911516,2
-24.366047,4.8380866,2
